epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.528,1.71617,2.00327,1.2161,0.89998,0.748,0.82652,0.4192,1.66753,1.26662,1.17529,0.000651163,0.000651163,0.000651163
2,729.01,1.36236,0.94517,1.0277,0.93073,0.84937,0.9191,0.57366,1.26642,1.03235,1.00809,0.00129174,0.00129174,0.00129174
3,1110.98,1.21846,0.76516,0.9874,0.91401,0.87032,0.92769,0.59685,1.20633,1.03982,0.98249,0.00190591,0.00190591,0.00190591
4,1486.32,1.20256,0.73463,0.9862,0.94034,0.91894,0.96623,0.58974,1.20973,0.79058,1.01541,0.0018812,0.0018812,0.0018812
5,1847.72,1.1206,0.67787,0.96751,0.94658,0.91444,0.96825,0.66076,1.07887,0.69581,0.94591,0.0018416,0.0018416,0.0018416
6,2203.8,1.10301,0.67029,0.96105,0.95991,0.94192,0.97648,0.64998,1.12901,0.67521,0.96996,0.001802,0.001802,0.001802
7,2565.24,1.07463,0.62449,0.94512,0.96221,0.93144,0.97484,0.63274,1.13141,0.65849,0.98047,0.0017624,0.0017624,0.0017624
8,2915.34,1.03801,0.63424,0.93696,0.90799,0.93135,0.95844,0.67557,0.96083,0.64058,0.91523,0.0017228,0.0017228,0.0017228
9,3255.52,1.01017,0.61459,0.93108,0.97583,0.95276,0.98625,0.69758,1.02226,0.58545,0.93046,0.0016832,0.0016832,0.0016832
10,3586.63,1.05078,0.60321,0.93998,0.98316,0.97822,0.99179,0.71591,0.94319,0.55477,0.91222,0.0016436,0.0016436,0.0016436
11,3918.29,0.96703,0.56446,0.92345,0.98323,0.97565,0.99072,0.76716,0.84514,0.51477,0.88642,0.001604,0.001604,0.001604
12,4255.51,0.97356,0.53079,0.91977,0.98922,0.98006,0.99184,0.69773,1.02089,0.52199,0.93336,0.0015644,0.0015644,0.0015644
13,4592.47,0.93108,0.51783,0.9162,0.98898,0.97338,0.99156,0.72746,0.94719,0.55722,0.91662,0.0015248,0.0015248,0.0015248
14,4933.03,0.92989,0.51138,0.90655,0.98798,0.98695,0.99317,0.76028,0.8664,0.47176,0.89291,0.0014852,0.0014852,0.0014852
15,5253.62,0.91266,0.50092,0.90504,0.98819,0.97657,0.99191,0.76628,0.86987,0.47065,0.89078,0.0014456,0.0014456,0.0014456
16,5593.18,0.91493,0.49111,0.9038,0.99075,0.98397,0.99268,0.75365,0.88445,0.45234,0.89613,0.001406,0.001406,0.001406
17,5917.03,0.90214,0.48083,0.90076,0.99073,0.98438,0.99313,0.78547,0.80885,0.42999,0.8746,0.0013664,0.0013664,0.0013664
