x,y
2.294368420162884377e+02,1.255313345066875286e+02
2.473982670991940438e+02,1.243535361405953665e+02
2.653596921820996499e+02,1.231757377745031903e+02
2.833211172650052276e+02,1.219979394084110140e+02
3.012825423479108622e+02,1.208201410423188520e+02
3.192439674308164967e+02,1.196423426762266757e+02
2.214761327804072550e+02,1.416752840997008889e+02
2.394375578633128612e+02,1.404974857336086984e+02
2.573989829462184389e+02,1.393196873675165648e+02
2.753604080291240734e+02,1.381418890014243743e+02
2.933218331120297080e+02,1.369640906353322123e+02
3.112832581949352857e+02,1.357862922692400502e+02
3.292446832778408634e+02,1.346084939031478598e+02
3.472061083607464980e+02,1.334306955370556977e+02
3.651675334436521325e+02,1.322528971709635357e+02
3.831289585265577102e+02,1.310750988048713452e+02
4.010903836094632879e+02,1.298973004387791832e+02
4.190518086923689225e+02,1.287195020726870212e+02
4.370132337752745570e+02,1.275417037065948449e+02
4.549746588581801348e+02,1.263639053405026687e+02
4.729360839410857693e+02,1.251861069744104924e+02
4.908975090239913470e+02,1.240083086083183304e+02
5.088589341068969816e+02,1.228305102422261541e+02
5.268203591898025024e+02,1.216527118761339779e+02
5.447817842727081370e+02,1.204749135100418158e+02
5.627432093556137715e+02,1.192971151439496396e+02
5.807046344385194061e+02,1.181193167778574775e+02
5.986660595214250407e+02,1.169415184117653013e+02
2.135154235445261008e+02,1.578192336927142492e+02
2.314768486274317070e+02,1.566414353266220587e+02
2.494382737103373131e+02,1.554636369605299251e+02
2.673996987932429192e+02,1.542858385944377346e+02
2.853611238761485538e+02,1.531080402283455442e+02
3.033225489590541315e+02,1.519302418622534105e+02
3.212839740419597092e+02,1.507524434961612201e+02
3.392453991248653438e+02,1.495746451300690580e+02
3.572068242077709215e+02,1.483968467639768960e+02
3.751682492906764992e+02,1.472190483978847055e+02
3.931296743735821337e+02,1.460412500317925435e+02
4.110910994564877683e+02,1.448634516657003815e+02
4.290525245393933460e+02,1.436856532996081910e+02
4.470139496222989806e+02,1.425078549335160290e+02
4.649753747052045583e+02,1.413300565674238669e+02
4.829367997881101928e+02,1.401522582013316764e+02
5.008982248710157705e+02,1.389744598352395144e+02
5.188596499539213482e+02,1.377966614691473524e+02
5.368210750368269828e+02,1.366188631030551619e+02
5.547825001197326173e+02,1.354410647369629999e+02
5.727439252026381382e+02,1.342632663708708378e+02
5.907053502855437728e+02,1.330854680047786474e+02
6.086667753684494073e+02,1.319076696386864853e+02
6.266282004513550419e+02,1.307298712725943233e+02
6.445896255342606764e+02,1.295520729065021328e+02
6.625510506171661973e+02,1.283742745404099708e+02
6.805124757000718319e+02,1.271964761743178087e+02
2.055547143086448898e+02,1.739631832857276095e+02
2.235161393915504959e+02,1.727853849196354190e+02
2.414775644744561021e+02,1.716075865535432570e+02
2.594389895573617082e+02,1.704297881874510949e+02
2.774004146402672859e+02,1.692519898213589045e+02
2.953618397231729205e+02,1.680741914552667708e+02
3.133232648060785550e+02,1.668963930891745804e+02
3.312846898889841327e+02,1.657185947230823899e+02
3.492461149718897673e+02,1.645407963569902563e+02
3.672075400547953450e+02,1.633629979908980658e+02
3.851689651377009795e+02,1.621851996248058754e+02
4.031303902206065572e+02,1.610074012587137418e+02
4.210918153035121918e+02,1.598296028926215513e+02
